StartDate,Site,Treatment,Distance,Petri_dish_weight,Petri_dish_weight_plus_PF_sample,Biomass
2023-11-03,12,,0m,3.0464,4.4848,1.4384
2023-11-03,12,,5m,3.0499,3.425,0.3751
2023-11-08,1,,0m,2.9902,4.0875,1.0973
2023-11-08,1,,5m,3.0194,3.8435,0.8241
2023-11-08,2,,0m,3.0841,3.76,0.6759
2023-11-08,2,,5m,3.1855,3.9115,0.726
2023-11-08,3,,0m,3.0104,3.1903,0.1799
2023-11-08,3,,5m,3.1404,3.2002,0.0598000000000001
2023-11-08,4,,0m,3.1981,3.8789,0.6808
2023-11-08,4,,5m,3.0934,3.8628,0.7694
2023-11-08,5,,0m,2.9603,3.2644,0.3041
2023-11-08,5,,5m,3.1566,3.3786,0.222
2023-11-08,6,,0m,2.9016,3.7008,0.7992
2023-11-08,6,,5m,3.0697,3.6336,0.5639
