Timestamp,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1686889114,0,1,0,0,0.017023,0,0,0,0,1,0,0,0,0,0,1,0
1686889120,0,1,0,0,0.016249,0,0,0,0,2,0,0,0,0,0,2,0
1686889126,0,1,0,0,0.017023,0,0,0,0,1,0,0,0,0,0,1,0
1686889132,0,1,0,0,0.017023,0,0,0,0,2,0,0,0,0,0,2,0
1686889138,0,1,0,0,0.016249,0,0,0,0,2,0,0,0,0,0,1,0
1686889144,0,1,0,0,0.015542,0,0,0,0,2,0,0,0,0,0,1,0
1686889150,0,1,0,0,0.014155,0,0,0,0,1,0,0,0,0,0,1,0
1686889156,0,1,0,0,0.017023,0,0,0,0,2,0,0,0,0,0,2,0
1686889162,0,1,0,0,0.017023,0,0,0,0,1,0,0,0,0,0,1,0
1686889168,0,1,0,0,0.014829,0,0,0,0,1,0,0,0,0,0,2,0
1686889174,0,1,0,0,0.017023,0,0,0,0,1,0,0,0,0,0,2,0
1686889180,0,1,0,0,0.015570,0,0,0,0,1,0,0,0,0,0,1,0
1686889186,0,1,0,0,0.015570,0,0,0,0,1,0,0,0,0,0,1,0
1686889192,0,1,0,0,0.015570,0,0,0,0,1,0,0,0,0,0,1,0
1686889198,0,1,0,0,0.014155,0,0,0,0,1,0,0,0,0,0,2,0
1686889204,0,1,0,0,0.015570,0,0,0,0,1,0,0,0,0,0,1,0
1686889210,0,1,0,0,0.015570,0,0,0,0,1,0,0,0,0,0,2,0
1686889216,0,1,0,0,0.014155,0,0,0,0,1,0,0,0,0,0,1,0
1686889222,0,1,0,0,0.014155,0,0,0,0,1,0,0,0,0,0,2,0
1686889228,0,1,0,0,0.014155,0,0,0,0,1,0,0,0,0,0,1,0
1686889234,0,1,0,0,0.015570,0,0,0,0,1,0,0,0,0,0,1,0
1686889240,0,1,0,0,0.017023,0,0,0,0,1,0,0,0,0,0,1,0
1686889246,0,1,0,0,0.015570,0,0,0,0,1,0,0,0,0,0,1,0
1686889252,0,1,0,0,0.014155,0,0,0,0,1,0,0,0,0,0,1,0
1686889258,0,1,0,0,0.014155,0,0,0,0,1,0,0,0,0,0,1,0
1686889264,0,1,0,0,0.015570,0,0,0,0,1,0,0,0,0,0,1,0
1686889270,0,1,0,0,0.015570,0,0,0,0,2,0,0,0,0,0,2,0
1686889276,0,1,0,0,0.015570,0,0,0,0,1,0,0,0,0,0,1,0
1686889282,0,1,0,0,0.015570,0,0,0,0,1,0,0,0,0,0,2,0
1686889288,0,1,0,0,0.016249,0,0,0,0,1,0,0,0,0,0,1,0
1686889294,0,1,0,0,0.016249,0,0,0,0,1,0,0,0,0,0,1,0
1686889300,0,1,0,0,0.014829,0,0,0,0,1,0,0,0,0,0,1,0
1686889306,0,1,0,0,0.015570,0,0,0,0,1,0,0,0,0,0,1,0
1686889312,0,1,0,0,0.014829,0,0,0,0,1,0,0,0,0,0,1,0
1686889318,0,1,0,0,0.014829,0,0,0,0,1,0,0,0,0,0,1,0
1686889324,0,1,0,0,0.015570,0,0,0,0,1,0,0,0,0,0,1,0
1686889330,0,1,0,0,0.015570,0,0,0,0,1,0,0,0,0,0,1,0
1686889336,0,1,0,0,0.015570,0,0,0,0,1,0,0,0,0,0,1,0
1686889342,0,1,0,0,0.014132,0,0,0,0,1,0,0,0,0,0,1,0
1686889348,0,1,0,0,0.014132,0,0,0,0,1,0,0,0,0,0,1,0
1686889354,0,1,0,0,0.016390,0,0,0,0,2,0,0,0,0,0,1,0
1686889360,0,1,0,0,0.015570,0,0,0,0,1,0,0,0,0,0,1,0
1686889366,0,1,0,0,0.014829,0,0,0,0,1,0,0,0,0,0,1,0
