"Source:","/home/dchevalier/Documents/alan-setup/fab/kicad/controller_pcb/controller_pcb.kicad_sch"
"Date:","Sat 17 Feb 2024 03:52:16 PM"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Category","DK_Datasheet_Link","DK_Detail_Page","Datasheet_1","Description","Digi-Key_PN","Family","Footprint_1","Height","MPN","Manufacturer","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Reference_1","Status","Value_1"
"","","RCOMP-2","CRCW040213K0FKED","CRCW040213K0FKED:CRCW040213K0FKED","","","CRCW040213K0FKED","https://www.arrow.com/en/products/crcw040213k0fked/vishay?region=nac","","","","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","RESC1005X40N","0.4","","","Vishay","CRCW040213K0FKED","71-CRCW0402-13K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW040213K0FKED?qs=8wskyPz2qw0HXggAygo%252BmA%3D%3D","R","","CRCW040213K0FKED"
"","","RENB1","CRCW0402100KFKED","CRCW0402100KFKED:CRCW0402100KFKED","","","CRCW0402100KFKED","https://www.arrow.com/en/products/crcw0402100kfked/vishay?region=nac","","","","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","RESC1005X40N","0.4","","","Vishay","CRCW0402100KFKED","71-CRCW0402-100K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW0402100KFKED?qs=OlqPY1CiralZGKRwQ4Glcg%3D%3D","R","","CRCW0402100KFKED"
"","","RENB-2","CRCW0402100KFKED","CRCW0402100KFKED:CRCW0402100KFKED","","","CRCW0402100KFKED","https://www.arrow.com/en/products/crcw0402100kfked/vishay?region=nac","","","","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","RESC1005X40N","0.4","","","Vishay","CRCW0402100KFKED","71-CRCW0402-100K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW0402100KFKED?qs=OlqPY1CiralZGKRwQ4Glcg%3D%3D","R","","CRCW0402100KFKED"
"","","RENT1","CRCW0402301KFKED","CRCW0402301KFKED:CRCW0402301KFKED","","","CRCW0402301KFKED","https://www.arrow.com/en/products/crcw0402301kfked/vishay","","","","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","RESC1005X40N","0.4","","","Vishay","CRCW0402301KFKED","71-CRCW0402-301K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW0402301KFKED/?qs=TNtMkGKFKOwT423%2FwrBwyQ%3D%3D","R","","CRCW0402301KFKED"
"","","RENT-2","CRCW0402301KFKED","CRCW0402301KFKED:CRCW0402301KFKED","","","CRCW0402301KFKED","https://www.arrow.com/en/products/crcw0402301kfked/vishay","","","","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","RESC1005X40N","0.4","","","Vishay","CRCW0402301KFKED","71-CRCW0402-301K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW0402301KFKED/?qs=TNtMkGKFKOwT423%2FwrBwyQ%3D%3D","R","","CRCW0402301KFKED"
"","","RPU1","CRCW12104K70JNEA","CRCW12104K70JNEA:CRCW12104K70JNEA","","","CRCW12104K70JNEA","https://www.arrow.com/en/products/crcw12104k70jnea/vishay","","","","","","","","RESC3225X60N","0.6","","","Vishay","CRCW12104K70JNEA","71-CRCW1210J-4.7K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW12104K70JNEA?qs=%2FqQFlUriJiy4FdqFuj0GnQ%3D%3D","R","","CRCW12104K70JNEA"
"","","RPU2","CRCW12104K70JNEA","CRCW12104K70JNEA:CRCW12104K70JNEA","","","CRCW12104K70JNEA","https://www.arrow.com/en/products/crcw12104k70jnea/vishay","","","","","","","","RESC3225X60N","0.6","","","Vishay","CRCW12104K70JNEA","71-CRCW1210J-4.7K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW12104K70JNEA?qs=%2FqQFlUriJiy4FdqFuj0GnQ%3D%3D","R","","CRCW12104K70JNEA"
"","","RT1","CRCW040248K7FKED","CRCW040248K7FKED:CRCW040248K7FKED","","","CRCW040248K7FKED","https://www.arrow.com/en/products/crcw040248k7fked/vishay","","","","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","RESC1005X40N","0.4","","","Vishay","CRCW040248K7FKED","71-CRCW0402-48.7K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW040248K7FKED?qs=hAuyw6LW%252BLjLERyYwOFdTQ%3D%3D","R","","CRCW040248K7FKED"
"","","RT-2","CRCW040248K7FKED","CRCW040248K7FKED:CRCW040248K7FKED","","","CRCW040248K7FKED","https://www.arrow.com/en/products/crcw040248k7fked/vishay","","","","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","RESC1005X40N","0.4","","","Vishay","CRCW040248K7FKED","71-CRCW0402-48.7K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW040248K7FKED?qs=hAuyw6LW%252BLjLERyYwOFdTQ%3D%3D","R","","CRCW040248K7FKED"
"","","U1","TPS55289RYQR","TPS55289RYQR:TPS55289RYQR","","","TPS55289RYQR","https://www.arrow.com/en/products/tps55289ryqr/texas-instruments?region=nac","","","","https://www.ti.com/lit/ds/symlink/tps55289.pdf?ts=1664818706180&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPS55289%252Fpart-details%252FTPS55289RYQR%253FkeyMatch%253DTPS55289RYQR","","","","TPS55289RYQR","1","","","Texas Instruments","TPS55289RYQR","595-TPS55289RYQR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS55289RYQR?qs=T%252BzbugeAwjhgaIN94Lbpjg%3D%3D","15VREG","","TPS55289RYQR"
"","","U2","TPS55289RYQR","TPS55289RYQR:TPS55289RYQR","","","TPS55289RYQR","https://www.arrow.com/en/products/tps55289ryqr/texas-instruments?region=nac","","","","https://www.ti.com/lit/ds/symlink/tps55289.pdf?ts=1664818706180&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPS55289%252Fpart-details%252FTPS55289RYQR%253FkeyMatch%253DTPS55289RYQR","","","","TPS55289RYQR","1","","","Texas Instruments","TPS55289RYQR","595-TPS55289RYQR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS55289RYQR?qs=T%252BzbugeAwjhgaIN94Lbpjg%3D%3D","5VREG","","TPS55289RYQR"
"","","U3","DS3231SN","DS3231SN:DS3231SN#","","","DS3231SN#","https://www.arrow.com/en/products/ds3231sn/analog-devices?region=nac","","","","https://datasheets.maximintegrated.com/en/ds/DS3231.pdf","","","","SOIC127P1032X265-16N","2.65","","","Analog Devices","DS3231SN#","700-DS3231SN#","https://www.mouser.co.uk/ProductDetail/Analog-Devices-Maxim-Integrated/DS3231SN?qs=1eQvB6Dk1vhUlr8%2FOrV0Fw%3D%3D","IC","","DS3231SN"
"","","UBAT1","BK-912-TR","BK-912-TR:BK-912-TR","","","","","","","","https://www.memoryprotectiondevices.com/datasheets/BK-912-datasheet.pdf","","","","BK912TR","4.32","","","Memory Protection Devices","BK-912-TR","","","U","","BK-912-TR"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Category","DK_Datasheet_Link","DK_Detail_Page","Datasheet_1","Description","Digi-Key_PN","Family","Footprint_1","Height","MPN","Manufacturer","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Reference_1","Status","Value_1"
